지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s)
642,문화,2019-06-15,22,16.4,28,0,5.9,1.1
642,문화,2019-06-16,21.7,15.7,28.4,0,5.5,1.1
642,문화,2019-06-17,22.1,17.5,27.8,0,5.5,1.7
642,문화,2019-06-18,21.8,17.8,26.3,0,5.8,.7
642,문화,2019-06-19,22.9,19.5,27.5,0,4,.8
642,문화,2019-06-20,24.2,19.8,29.9,0,4.7,1.1
642,문화,2019-06-21,24.4,20.5,30,0,5.5,1.1
642,문화,2019-06-22,23.3,19.7,30.2,2.5,5.7,1.1
642,문화,2019-06-23,23.6,18.3,29.9,0,6,.8
642,문화,2019-06-24,24.5,18.6,31.2,0,5.4,1.2
642,문화,2019-06-25,26.3,18.9,34,0,5.2,.8
642,문화,2019-06-26,21.9,20.9,24.2,2,5.7,.8
642,문화,2019-06-27,24.4,20.9,30.3,2.5,4.6,.8
642,문화,2019-06-28,25.3,21.8,31.1,0,6,1.5
642,문화,2019-06-29,22.1,21.3,23.7,15.5,3.1,.4
642,문화,2019-06-30,24.3,21.1,28.8,0,5.3,1.5
642,문화,2019-07-01,23.7,20.7,27.6,0,4.6,1.4
642,문화,2019-07-02,24.3,18.5,30.3,0,5.3,1.1
642,문화,2019-07-03,24.5,19.7,29.3,0,4.8,.6
642,문화,2019-07-04,25.6,19.7,32.7,0,5.1,.9
642,문화,2019-07-05,27.9,20.5,35,0,6,.6
642,문화,2019-07-06,27.2,21.2,32.6,0,8.8,1.7
642,문화,2019-07-07,25.5,22.4,29.9,0,6.9,1.9
642,문화,2019-07-08,24.7,20.4,30.3,0,7.6,1.6
642,문화,2019-07-09,24.3,20.7,29,0,5.9,1.8
642,문화,2019-07-10,21.6,19.6,23.6,19,5.4,1.1
642,문화,2019-07-11,21.1,19.6,23,6,4.1,.6
642,문화,2019-07-12,23.5,20,29.1,0,5.3,1.5
642,문화,2019-07-13,24.2,20.7,29.9,1.5,4.2,.8
642,문화,2019-07-14,25.7,21.2,31.6,0,4.8,.8
642,문화,2019-07-15,24,21.2,29.7,44,6.3,.8
642,문화,2019-07-16,24.6,19.9,30.6,36,5.2,.7
642,문화,2019-07-17,25.8,21.8,30.3,0,3.5,.6
642,문화,2019-07-18,25.4,21.9,29,5,3.8,.4
642,문화,2019-07-19,26.5,22.9,30.2,.5,5.7,1
642,문화,2019-07-20,25.6,24.1,28.5,21,6.7,1.6
642,문화,2019-07-21,24.7,22,27.9,29,6.5,1.4
642,문화,2019-07-22,28.3,24.4,33.2,0,5.7,1.2
642,문화,2019-07-23,29,25.6,33.8,0,4.2,.5
642,문화,2019-07-24,27.7,25.6,30.4,0,3.1,.1
642,문화,2019-07-25,26.4,25.2,28.2,23.5,2.5,
642,문화,2019-07-26,27,25.4,31.7,19,3.4,.1
642,문화,2019-07-27,27.9,24.6,33.6,15,4.7,.4
642,문화,2019-07-28,26.9,25.3,29.9,21.5,5.3,.5
642,문화,2019-07-29,28.8,23.9,33.6,0,6,.6
642,문화,2019-07-30,29.5,25.2,34.6,0,6.3,1.3
642,문화,2019-07-31,29.9,27.4,34.2,0,6.9,2.1
642,문화,2019-08-01,29.7,25.8,34.8,0,5.4,1.3
642,문화,2019-08-02,30.4,26.1,35.4,0,4.4,.6
642,문화,2019-08-03,30.4,26.5,36.6,0,4,1
642,문화,2019-08-04,30.3,25.5,35.6,0,5.1,.9
642,문화,2019-08-05,31.3,26.2,36.9,0,4.7,.9
642,문화,2019-08-06,29.5,26.4,32.3,0,5.8,1.6
642,문화,2019-08-07,28.8,23.7,33.8,17.5,6.4,1.7
642,문화,2019-08-08,28,23.5,34.4,15,8.5,.9
642,문화,2019-08-09,29.6,24.9,35.4,4,4.4,.8
642,문화,2019-08-10,30.2,26,35,0,6.7,1.5
642,문화,2019-08-11,30.1,26.6,33.8,0,7.9,2
642,문화,2019-08-12,29.9,27.1,34.2,0,6.1,1.4
642,문화,2019-08-13,30.3,25.7,35.7,0,4.2,.9
642,문화,2019-08-14,30.2,26.8,34.2,0,5.6,1.6
642,문화,2019-08-15,25.8,24.5,29.8,9,5,1.4
642,문화,2019-08-16,26.7,24.2,31.5,1,6.3,1.6
642,문화,2019-08-17,26.5,23.2,31.5,3.5,5.8,1.5
642,문화,2019-08-18,25.9,20.9,31.6,0,4.3,.9
642,문화,2019-08-19,26.6,20.9,33.4,0,3.9,.8
642,문화,2019-08-20,27.8,23.5,32.7,0,5.3,1.4
642,문화,2019-08-21,27.1,23.2,32.9,7,4.1,.9
642,문화,2019-08-22,26.4,23.1,31.6,30,4.6,1.2
642,문화,2019-08-23,25.2,22,30.8,0,5.6,1.6
642,문화,2019-08-24,23.7,20.3,29,0,4.3,1
642,문화,2019-08-25,24.5,20.1,31.1,0,6,1.2
642,문화,2019-08-26,25.8,19.3,32.8,0,4.1,.8
642,문화,2019-08-27,22.2,19.7,25.7,41,6.7,.9
642,문화,2019-08-28,24.3,21.2,29.9,1.5,5.8,1
642,문화,2019-08-29,23.8,21.2,28.2,5.5,6.8,.9
642,문화,2019-08-30,23.8,19.8,29.4,1.5,6.9,1.4
642,문화,2019-08-31,23.6,18.7,29.4,0,6.2,1.2
642,문화,2019-09-01,24,19.3,29.7,0,3.3,.8
642,문화,2019-09-02,22.5,20.1,26,10.5,3.7,.7
642,문화,2019-09-03,22.5,20.2,24.4,2.5,3.1,.6
642,문화,2019-09-04,24.9,22.4,29.1,3.5,3.6,.8
642,문화,2019-09-05,24.8,23,29.9,26.5,5.1,.4
642,문화,2019-09-06,26.2,22.8,28.3,.5,5,.9
642,문화,2019-09-07,26.7,24.3,31.2,3,10.6,3
642,문화,2019-09-08,25.7,23.3,30,3.5,2.7,.6
642,문화,2019-09-09,24.4,22.1,26.3,10.5,3.5,.6
642,문화,2019-09-10,27.8,23.2,33.7,0,4.5,.8
642,문화,2019-09-11,25.7,23.7,29.3,0,6.7,1.3
642,문화,2019-09-12,21.3,20,24.1,4,7,1.6
642,문화,2019-09-13,23.2,17.6,28.4,0,5.3,1.2
642,문화,2019-09-14,23.6,19.2,29,0,3.6,.9
642,문화,2019-09-15,25.5,22.1,31.7,0,4,1
642,문화,2019-09-16,24.7,20.8,30,0,4.4,1
642,문화,2019-09-17,23.4,17.4,29.1,0,5.2,1.2
642,문화,2019-09-18,22.4,16.3,29.2,0,6.8,1.3
642,문화,2019-09-19,20.5,13.6,27.2,0,4.4,.9
642,문화,2019-09-20,20.1,17.7,22.3,0,5.8,1.2
642,문화,2019-09-21,18.2,16.1,20.7,43.5,4.6,1.3
642,문화,2019-09-22,17.2,16.2,18,68,8,2
642,문화,2019-09-23,18.3,14.8,22.1,0,4.5,.8
642,문화,2019-09-24,18.5,12.3,25.8,0,5,.7
642,문화,2019-09-25,19,13.1,24.4,0,2.9,.6
642,문화,2019-09-26,21.2,17.8,25.6,0,3.8,.7
642,문화,2019-09-27,23,17.1,29.5,0,3.5,.7
642,문화,2019-09-28,24.6,20.1,29.8,0,3.5,.6
642,문화,2019-09-29,23.6,19.2,29.2,0,4.8,.6
642,문화,2019-09-30,23,16.6,30.1,0,4.4,.3
642,문화,2019-10-01,22.5,19,26.1,0,2.5,.1
642,문화,2019-10-02,21.6,20.6,23.1,76,5.7,.7
642,문화,2019-10-03,22.7,19.6,28.3,13,5.1,1.2
642,문화,2019-10-04,22.9,19.9,28.9,0,5.4,1.1
642,문화,2019-10-05,19.4,16.6,21.6,0,4.4,1.6
642,문화,2019-10-06,18.4,15.6,22.6,0,5.9,1.6
642,문화,2019-10-07,15.7,14.1,17.6,13,3.8,.7
642,문화,2019-10-08,16.5,10.3,23.8,0,5.7,1.4
642,문화,2019-10-09,13.6,6.9,20.7,0,3.6,.5
642,문화,2019-10-10,14.7,9.5,21.3,0,3.4,.6
642,문화,2019-10-11,17.8,12.4,25.1,0,3.9,.6
642,문화,2019-10-12,18.6,13.7,25,0,5.6,1.2
642,문화,2019-10-13,16.9,11.2,23.2,0,5.5,1.1
642,문화,2019-10-14,15,10.3,21.2,0,4.8,1
642,문화,2019-10-15,14.2,8.7,19.6,0,5.6,1
642,문화,2019-10-16,14.5,9,21.8,0,3.2,.6
642,문화,2019-10-17,14.9,11.1,20.5,0,4.2,.9
642,문화,2019-10-18,16.4,11.7,21,0,4.4,.9
642,문화,2019-10-19,16.8,12.2,23.7,0,4.6,.6
642,문화,2019-10-20,15.6,10.4,23.3,0,3.4,.3
642,문화,2019-10-21,15.8,9.3,23.7,0,4.6,.6
642,문화,2019-10-22,16.9,10.8,23.8,0,4.3,.7
642,문화,2019-10-23,16.8,13,18.9,0,3.7,.8
642,문화,2019-10-24,18.9,15.1,23,0,5,1.4
642,문화,2019-10-25,17.6,12.1,22.9,0,4.5,.9
642,문화,2019-10-26,13.2,8.7,17.7,0,4.8,1.6
642,문화,2019-10-27,11.2,6,17.4,0,4.6,.8
642,문화,2019-10-28,12,4.9,18.9,0,5.3,.9
642,문화,2019-10-29,14.6,10.3,19.6,.5,6.1,1.5
642,문화,2019-10-30,11.5,6,18.7,0,3.9,.6
642,문화,2019-10-31,13.1,6.1,20.4,0,5.4,.9
642,문화,2019-11-01,15.4,10.9,22.2,0,3.5,.6
642,문화,2019-11-02,13.7,7.8,19.9,0,2.2,.2
642,문화,2019-11-03,14.6,10.3,20.7,0,3.4,.6
642,문화,2019-11-04,13.7,8.9,21.1,0,3.3,.5
642,문화,2019-11-05,12.2,6.5,20,0,4.2,.7
642,문화,2019-11-06,11.9,6,19.5,0,4.4,.8
642,문화,2019-11-07,11.2,5.5,18.3,0,5.3,1
642,문화,2019-11-08,7.2,1.5,14.7,0,3.9,.6
642,문화,2019-11-09,8.2,1.1,17.3,0,4.7,.4
642,문화,2019-11-10,9.3,3.5,16.9,9.5,6.9,.7
642,문화,2019-11-11,12.8,8.7,17.9,.5,6.6,1.8
642,문화,2019-11-12,9.8,5,16.5,0,3.2,.3
642,문화,2019-11-13,9,4.3,14.6,2,6.4,1
642,문화,2019-11-14,3.2,.1,8.4,0,6.6,1.8
642,문화,2019-11-15,9.9,-.5,17.1,0,8.3,1.8
642,문화,2019-11-16,13.1,8.7,18.8,1.5,6.2,.9
642,문화,2019-11-17,10.1,6.6,13.5,47.5,4.3,.4
642,문화,2019-11-18,8.2,3.9,15.1,16.5,7.5,2.1
642,문화,2019-11-19,3,.6,6,0,6.9,1.3
642,문화,2019-11-20,2.6,-1.9,8.4,0,3.8,.4
642,문화,2019-11-21,4.6,-2.3,11.8,0,2.8,.4
642,문화,2019-11-22,9.8,2.9,18.1,0,3.5,.5
642,문화,2019-11-23,11.3,4.3,18.8,0,3.3,.3
642,문화,2019-11-24,13.1,7.4,21.5,0,7.6,1
642,문화,2019-11-25,4.1,2.2,9.7,0,6.1,1.6
642,문화,2019-11-26,8.1,.9,15.3,0,3.5,.4
642,문화,2019-11-27,6.3,2.9,8.9,0,5.4,1.4
642,문화,2019-11-28,5.3,0,12.4,0,4.7,.8
642,문화,2019-11-29,3.2,-1.4,9.7,0,4,.2
642,문화,2019-11-30,4.8,-2.3,13.1,0,5.1,.3
642,문화,2019-12-01,6.3,4.8,8.3,10.5,2.1,.1
642,문화,2019-12-02,3.3,-.8,7,0,7.2,1.9
642,문화,2019-12-03,2.6,-1.7,7.1,0,5.1,.9
642,문화,2019-12-04,6,2.5,10.2,0,5.8,.9
642,문화,2019-12-05,.1,-4.4,4.7,0,6.8,2
642,문화,2019-12-06,-3.8,-7.8,1.6,0,4.1,1
642,문화,2019-12-07,.4,-6.9,7.5,0,4.8,.5
642,문화,2019-12-08,1.3,-3.1,7.5,0,2.7,.2
642,문화,2019-12-09,3.1,-3.3,12,0,5.8,.2
642,문화,2019-12-10,7.4,2.3,14.3,0,5.3,.5
642,문화,2019-12-11,8.1,3.1,13.1,0,7.1,1.8
642,문화,2019-12-12,2,-1.4,6.4,0,4.5,1.3
642,문화,2019-12-13,1.1,-4.6,8,0,2.5,.5
642,문화,2019-12-14,4.5,1.5,9.2,0,4.7,1.1
642,문화,2019-12-15,5.1,-1.7,13.9,0,3.7,.4
642,문화,2019-12-16,7.7,1.7,15.3,0,2.8,.5
642,문화,2019-12-17,7.9,5.2,11.4,2,3.7,.7
642,문화,2019-12-18,3.3,1.4,6.9,0,3.9,1
642,문화,2019-12-19,1.4,-2.1,6.2,0,5.1,1
642,문화,2019-12-20,1.3,-2,5,0,5,1
642,문화,2019-12-21,.6,-4.1,6.8,0,3.6,.5
642,문화,2019-12-22,3.3,-.9,10.1,0,2.5,.5
642,문화,2019-12-23,4.3,.1,9.4,0,4.8,1.2
642,문화,2019-12-24,1.6,-1.7,7.3,0,3.4,.6
642,문화,2019-12-25,3,-2.9,9.3,0,3.3,.6
642,문화,2019-12-26,3,1.2,4.8,1.5,6.6,1.3
642,문화,2019-12-27,.7,-2.4,5.1,0,7.2,1.3
642,문화,2019-12-28,.7,-4.4,8,0,3.8,.5
642,문화,2019-12-29,2.4,-2.1,6.9,9,4.2,.5
642,문화,2019-12-30,4.5,.2,9.3,.5,6.2,1.1
642,문화,2019-12-31,-4.2,-6.9,.2,0,7.7,2.2
642,문화,2020-01-01,-.5,-7.2,5.3,0,4.3,.9
642,문화,2020-01-02,1.6,-3,6.3,0,4.9,.9
642,문화,2020-01-03,2.2,-1.4,7.5,0,4.1,.9
642,문화,2020-01-04,.8,-3.7,8,0,4.8,.6
642,문화,2020-01-05,1.3,-4.1,8.4,0,3.2,.5
642,문화,2020-01-06,3.2,-.6,4.8,9.5,3.2,.5
642,문화,2020-01-07,8.4,4.8,14.7,46,9.6,.7
642,문화,2020-01-08,4.5,2.7,11.5,4,11.7,3.1
642,문화,2020-01-09,1.9,-1.4,5.4,0,4.3,1.5
642,문화,2020-01-10,.6,-3.4,6.7,0,3.5,.7
642,문화,2020-01-11,1.6,-2.6,7.4,0,4.3,.8
642,문화,2020-01-12,1.7,-.8,6,0,7.4,1.5
642,문화,2020-01-13,.8,-2.5,3.9,0,4.8,1.7
642,문화,2020-01-14,.5,-2.5,4.6,0,5.2,.9
642,문화,2020-01-15,-.5,-3.7,4.2,0,4.3,.9
642,문화,2020-01-16,-.1,-4.1,5.4,0,3.8,.8
642,문화,2020-01-17,.3,-2.3,5.2,0,3,.6
642,문화,2020-01-18,.4,-4.7,7.9,0,3.7,.6
642,문화,2020-01-19,3,-2.4,8.4,0,7,1.3
642,문화,2020-01-20,3.4,.3,8.1,0,7,2
642,문화,2020-01-21,.7,-4.6,7.4,0,4.3,.9
642,문화,2020-01-22,2.6,0,4.1,0,3.2,.5
642,문화,2020-01-23,6.2,2.6,12.8,.5,4.3,.9
642,문화,2020-01-24,4.1,-.4,11.1,0,3.5,.7
642,문화,2020-01-25,5.4,.6,10.6,0,2.2,.4
642,문화,2020-01-26,6.6,1,11.4,0,7.7,1.4
642,문화,2020-01-27,5.9,3.4,8.1,3,8.5,2.3
642,문화,2020-01-28,6.7,2.9,11,0,3.8,.8
642,문화,2020-01-29,7,4.8,10,0,4,.7
642,문화,2020-01-30,5.8,2.8,10.9,0,4,.9
642,문화,2020-01-31,4,.3,9.1,0,5.4,1.5
642,문화,2020-02-01,2.6,-2.6,8.4,0,5,.8
642,문화,2020-02-02,2.1,-2,7.8,0,4.3,.9
642,문화,2020-02-03,1.9,-2,6.8,0,5.4,1.5
642,문화,2020-02-04,.3,-5.8,6.8,0,5,1.2
642,문화,2020-02-05,-4.3,-6.9,1,0,6.2,2.3
642,문화,2020-02-06,-4.5,-9.7,.4,0,3.5,1
642,문화,2020-02-07,-1.1,-7.4,4.3,0,4.8,.9
642,문화,2020-02-08,1.9,-2,6.4,0,6.5,1.7
642,문화,2020-02-09,.3,-5.2,6.6,0,5.5,1.1
642,문화,2020-02-10,5.3,-.5,11.9,0,5.1,1
642,문화,2020-02-11,6.5,-1.5,15.6,0,3.2,.5
642,문화,2020-02-12,7.6,5.3,10,12,4.8,.7
642,문화,2020-02-13,7.3,3.2,9.6,0,5,1.4
642,문화,2020-02-14,7.7,3.1,14.8,0,3.1,.7
642,문화,2020-02-15,9.8,3.4,17.1,2,4.8,.8
642,문화,2020-02-16,1.2,-2,8.6,6,8,2.5
642,문화,2020-02-17,-2.8,-5.1,.5,0,7.5,2.6
642,문화,2020-02-18,-.8,-5.8,5.5,0,5.1,1.6
642,문화,2020-02-19,2.3,-3.9,9.5,0,3.4,.7
642,문화,2020-02-20,5.2,-.9,12.7,0,3.4,.6
642,문화,2020-02-21,7.3,.1,15.3,1.5,4,.6
642,문화,2020-02-22,6.3,2,11.3,1.5,9.2,2.7
642,문화,2020-02-23,3.9,-1.5,10.2,0,6,1.3
642,문화,2020-02-24,7.2,-1.8,16,.5,4.6,.7
642,문화,2020-02-25,7.1,6.1,8.3,51.5,5.2,1.2
642,문화,2020-02-26,8.4,4.1,14.6,0,5.3,1
642,문화,2020-02-27,7,3.4,12.2,0,4.1,1
642,문화,2020-02-28,4.9,3.2,7.1,2.5,2.6,.6
642,문화,2020-02-29,7.2,3.3,12.5,0,3.5,.6
642,문화,2020-03-01,6.2,2.5,12.3,0,5.6,1.5
642,문화,2020-03-02,5.8,2.6,10.3,0,5.6,1.9
642,문화,2020-03-03,7.4,.5,15.9,0,6.3,1.4
642,문화,2020-03-04,4,.5,9.8,0,8.8,2.8
642,문화,2020-03-05,3.4,-1.2,9.7,0,5.6,1.6
642,문화,2020-03-06,4.8,-3.2,12.4,0,3.3,.7
642,문화,2020-03-07,6,2.6,10.9,0,3.3,.6
642,문화,2020-03-08,8.8,.2,18.3,0,5.2,.8
642,문화,2020-03-09,9.9,3.1,16.1,1,3.4,.8
642,문화,2020-03-10,6.8,3,9.2,8,5.9,1.5
642,문화,2020-03-11,5.2,1,10,0,7.4,2.1
642,문화,2020-03-12,7.4,-.9,16.6,0,5.9,1.2
642,문화,2020-03-13,7.1,2.1,12.5,0,6,1.5
642,문화,2020-03-14,5,-1.3,11.9,0,7.8,2
642,문화,2020-03-15,5.4,1.4,11.2,0,9.6,2.8
642,문화,2020-03-16,4.7,-1.7,11.5,0,6.7,1.6
642,문화,2020-03-17,7.9,2.3,12.1,0,8.4,2
642,문화,2020-03-18,10.4,1.1,19.7,0,5.4,.8
642,문화,2020-03-19,10.4,6,16,0,11.6,3.6
642,문화,2020-03-20,9.4,4,16.1,0,7,2
642,문화,2020-03-21,14.5,4.5,23.9,0,6.7,1.5
642,문화,2020-03-22,13.6,8.3,19.8,0,7.6,1.9
642,문화,2020-03-23,10.4,2.8,18.6,0,7.7,1.9
642,문화,2020-03-24,11.3,3.1,19.6,0,4.6,1
642,문화,2020-03-25,13.8,4.2,22.3,0,3.7,.8
642,문화,2020-03-26,14.2,10.1,19.3,.5,4.8,.6
642,문화,2020-03-27,11.7,5.4,15.2,8.5,5.9,1.5
642,문화,2020-03-28,7.6,4.2,12.4,0,5.5,1.3
642,문화,2020-03-29,8.9,.7,17.2,0,5.7,1.3
642,문화,2020-03-30,12,6.2,19,0,5.5,1
642,문화,2020-03-31,12.9,4.3,20.6,0,4.8,1
642,문화,2020-04-01,11.8,6,20.3,0,7.3,1.9
642,문화,2020-04-02,10,2.5,18.4,0,5.7,1.2
642,문화,2020-04-03,10.7,3.2,19.3,0,5.6,1.4
642,문화,2020-04-04,10,5.6,17.7,0,7.3,2.2
642,문화,2020-04-05,8,.6,16.2,0,6.8,1.5
642,문화,2020-04-06,9.7,.9,18,0,5.2,1.4
642,문화,2020-04-07,11.7,4.3,19.5,0,7,2
642,문화,2020-04-08,10.1,5.4,16.4,0,7.7,2.2
642,문화,2020-04-09,9.9,2.5,16.9,0,5.3,1.5
642,문화,2020-04-10,10.9,5.8,17.9,0,6.5,1.6
642,문화,2020-04-11,9,4.8,14.5,0,6.1,1.5
642,문화,2020-04-12,8.5,2.3,15.6,1,8.5,1.2
642,문화,2020-04-13,10.7,5,18.1,0,7.1,1.9
642,문화,2020-04-14,13,4.7,22,0,6,1.5
642,문화,2020-04-15,12.8,4.3,21.3,0,4.8,.9
642,문화,2020-04-16,15.9,6,23.9,0,5.9,1.6
642,문화,2020-04-17,14.5,10,21.3,3,6.5,2.2
642,문화,2020-04-18,13.7,10,21.2,0,6.2,2
642,문화,2020-04-19,11.4,9.7,14.7,12.5,6.8,1.2
642,문화,2020-04-20,11,7.7,16.6,0,7.4,2.1
642,문화,2020-04-21,9.4,5.5,14.5,0,9.5,3.2
642,문화,2020-04-22,7.3,4.3,12.5,0,9.1,2.9
642,문화,2020-04-23,9,3.9,15.6,0,9.8,2.7
642,문화,2020-04-24,10.6,4.1,16.4,0,10.1,2.9
642,문화,2020-04-25,15.7,8.4,23.4,0,11.6,3.5
642,문화,2020-04-26,13.3,6.4,19.2,0,6.1,2
642,문화,2020-04-27,12.7,5.6,19.3,0,7.7,1.5
642,문화,2020-04-28,13.6,5.2,21.7,0,7.8,1.9
642,문화,2020-04-29,16.1,8.1,24.2,0,5.8,1.5
642,문화,2020-04-30,17.8,7.3,27.4,0,6.5,1.6
642,문화,2020-05-01,22.4,15.1,30.2,0,7.6,2
642,문화,2020-05-02,22.5,18.9,27.4,0,5.6,1.4
642,문화,2020-05-03,19,16.6,23.1,11,4.4,1
642,문화,2020-05-04,20.5,12.9,27.7,0,6.5,1.6
642,문화,2020-05-05,15.9,11.8,22.9,2,4.6,.9
642,문화,2020-05-06,20.4,13.9,28.2,0,5.7,1.5
642,문화,2020-05-07,20,14.3,25.8,0,6.9,2.3
642,문화,2020-05-08,19.4,12.5,26.9,8.5,4.8,1.4
642,문화,2020-05-09,16.1,13.2,19.2,18,6.3,1.8
642,문화,2020-05-10,14.8,13.2,17.8,.5,5.6,2.1
642,문화,2020-05-11,19,14.1,25.4,0,6.8,2.2
642,문화,2020-05-12,16.7,11.5,21.6,0,10.3,3.1
642,문화,2020-05-13,16.6,9,23.3,0,7.4,2
642,문화,2020-05-14,20.6,12.1,28.5,0,4.5,.8
642,문화,2020-05-15,16.7,15,20.3,26,5.5,1.1
642,문화,2020-05-16,17.8,16,21,0,4.2,1.1
642,문화,2020-05-17,21.6,15.9,29.3,0,4.3,1.2
642,문화,2020-05-18,20,14,27.9,10.5,9.3,1.8
642,문화,2020-05-19,14.3,11.8,17.2,4.5,7.2,1.8
642,문화,2020-05-20,15,9.2,21.6,0,4.6,1.3
642,문화,2020-05-21,17.8,10.4,23.6,0,4.4,.9
642,문화,2020-05-22,18.9,14.9,25.7,19,4.9,1.3
642,문화,2020-05-23,20.6,14.1,27.5,0,5.6,1.2
642,문화,2020-05-24,19.7,15.6,24.5,3,5.9,1.7
642,문화,2020-05-25,18.1,14.2,22.7,0,4.8,1.1
642,문화,2020-05-26,20,15,26.3,0,7.1,1.6
642,문화,2020-05-27,19.8,14.1,26.2,0,5.1,1.5
642,문화,2020-05-28,19.3,12.7,26.3,0,6,1.5
642,문화,2020-05-29,21.6,15.7,27.4,0,5.3,1.2
642,문화,2020-05-30,22.9,16,29.5,0,5.6,1
642,문화,2020-05-31,21.7,16.4,28.2,0,5.5,1.3
642,문화,2020-06-01,21.2,16.3,27.1,.5,7,2
642,문화,2020-06-02,20.3,14.7,24.8,0,5.5,1.1
642,문화,2020-06-03,23.3,18.2,29.4,0,5.7,1.3
642,문화,2020-06-04,25.5,21.7,31.9,0,6.5,2.1
642,문화,2020-06-05,25.6,21.7,32,0,4.9,1.5
642,문화,2020-06-06,24.5,20.1,31.4,4.5,5.6,1.3
642,문화,2020-06-07,24.2,19.7,30.9,0,4.9,1.3
642,문화,2020-06-08,26.5,19.1,34.4,0,4.4,1
642,문화,2020-06-09,27.9,20.7,35.1,0,5,1.1
642,문화,2020-06-10,25.9,21.6,35.5,57.5,7,1.1
642,문화,2020-06-11,25.5,20.5,31.7,67.5,4.5,1
642,문화,2020-06-12,24.3,22.4,26.7,4,4.3,.8
642,문화,2020-06-13,24.4,20.6,30.9,20.5,4.8,.9
642,문화,2020-06-14,24.2,20.8,29.1,5,6.6,2.1
642,문화,2020-06-15,23.5,18.3,29.8,0,6.1,2
642,문화,2020-06-16,24.3,19.8,30.2,0,4.3,1.4
642,문화,2020-06-17,23.6,20.3,28.5,0,4.4,1.2
642,문화,2020-06-18,20.8,19.7,22.4,1,6,1.1
642,문화,2020-06-19,24.2,19.1,29.9,0,6.3,1.3
642,문화,2020-06-20,24.9,19.8,30.5,0,4.7,1.3
642,문화,2020-06-21,26.2,20.6,32.4,0,4.2,1.1
642,문화,2020-06-22,27.5,20.7,34.9,0,5.4,1.2
