지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
642,문화,2017-06-01,22,0,1.8
642,문화,2017-06-02,20.6,0,1.5
642,문화,2017-06-03,20.6,0,1.8
642,문화,2017-06-04,21.2,0,1.4
642,문화,2017-06-05,22.6,0,1.3
642,문화,2017-06-06,18.7,9.5,1.4
642,문화,2017-06-07,17.8,4.5,1.6
642,문화,2017-06-08,20.3,0,1.7
642,문화,2017-06-09,22.3,0,2.2
642,문화,2017-06-10,22.7,0,2
642,문화,2017-06-11,23.3,0,1.3
642,문화,2017-06-12,21.9,0,1.4
642,문화,2017-06-13,21.9,0,1.5
642,문화,2017-06-14,21.8,0,1.4
642,문화,2017-06-15,23.3,0,2.1
642,문화,2017-06-16,25,0,1.3
642,문화,2017-06-17,24.9,0,1.1
642,문화,2017-06-18,25.1,0,1.3
642,문화,2017-06-19,26.2,0,1.1
642,문화,2017-06-20,25.5,0,.9
642,문화,2017-06-21,25.2,0,1.8
642,문화,2017-06-22,25.6,0,1.4
642,문화,2017-06-23,27.5,0,1.4
642,문화,2017-06-24,24.1,4.5,1.1
642,문화,2017-06-25,25,0,1.3
642,문화,2017-06-26,23.8,3,1.2
642,문화,2017-06-27,24.4,23,1.2
642,문화,2017-06-28,25.1,5.5,1.3
642,문화,2017-06-29,26.2,0,1.1
642,문화,2017-06-30,26.9,0,1.4
642,문화,2017-07-01,24.1,21,.7
642,문화,2017-07-02,26.1,32.5,.9
642,문화,2017-07-03,25.6,75,2.1
642,문화,2017-07-04,26.2,19.5,1.7
642,문화,2017-07-05,28,0,1
642,문화,2017-07-06,26.4,4,.9
642,문화,2017-07-07,27.2,3,.7
642,문화,2017-07-08,26.4,55,.8
642,문화,2017-07-09,27.6,40.5,.9
642,문화,2017-07-10,26.8,18.5,1
642,문화,2017-07-11,27,4.5,2.1
642,문화,2017-07-12,27.9,0,1.5
642,문화,2017-07-13,27.6,0,1.2
642,문화,2017-07-14,27.6,3.5,1.2
642,문화,2017-07-15,25.4,24.5,1.2
642,문화,2017-07-16,27.6,0,1.9
642,문화,2017-07-17,25.8,9.5,1.2
642,문화,2017-07-18,25.7,2,1.2
642,문화,2017-07-19,28.2,0,1
642,문화,2017-07-20,29.2,0,1.3
642,문화,2017-07-21,30,0,1.3
642,문화,2017-07-22,29.6,0,1.3
642,문화,2017-07-23,27.9,.5,1.2
642,문화,2017-07-24,28.5,2,1.2
642,문화,2017-07-25,28.4,30,1.4
642,문화,2017-07-26,27.9,0,1.7
642,문화,2017-07-27,28,0,1.1
642,문화,2017-07-28,28.4,1,1.4
642,문화,2017-07-29,27.2,.5,1.5
642,문화,2017-07-30,27.6,8,1.1
642,문화,2017-07-31,24.9,36,.7
642,문화,2017-08-01,27.1,21,.8
642,문화,2017-08-02,29.4,0,1
642,문화,2017-08-03,28.7,0,2
642,문화,2017-08-04,30.3,0,1.2
642,문화,2017-08-05,31.9,0,1.2
642,문화,2017-08-06,30.1,36.5,1.1
642,문화,2017-08-07,29,0,1.4
642,문화,2017-08-08,28.5,0,.9
642,문화,2017-08-09,24.7,21,.9
642,문화,2017-08-10,26.3,46,1.1
642,문화,2017-08-11,26.2,54.5,.7
642,문화,2017-08-12,26.9,0,1
642,문화,2017-08-13,24.9,2.5,1.5
642,문화,2017-08-14,22.8,64,1.4
642,문화,2017-08-15,23.6,44,1.2
642,문화,2017-08-16,25.6,3.5,.9
642,문화,2017-08-17,26.1,0,1.2
642,문화,2017-08-18,26.6,0,.9
642,문화,2017-08-19,25.5,4,.8
642,문화,2017-08-20,26.4,5.5,1.4
642,문화,2017-08-21,24.8,43.5,.8
642,문화,2017-08-22,27.6,0,1.1
642,문화,2017-08-23,28.9,1.5,1.5
642,문화,2017-08-24,28.2,49,2.4
642,문화,2017-08-25,27,0,1.2
642,문화,2017-08-26,24.3,0,1.1
642,문화,2017-08-27,24.3,0,.9
642,문화,2017-08-28,25.3,24,1.1
642,문화,2017-08-29,22.2,0,1.7
642,문화,2017-08-30,18.9,0,1.1
642,문화,2017-08-31,22.1,0,1.1
642,문화,2017-09-01,22.3,0,.9
642,문화,2017-09-02,21.5,0,.9
642,문화,2017-09-03,22.3,0,.8
642,문화,2017-09-04,23,0,1.1
642,문화,2017-09-05,21.2,.5,.7
642,문화,2017-09-06,21.3,2,.8
642,문화,2017-09-07,22.3,0,.9
642,문화,2017-09-08,23.1,0,.8
642,문화,2017-09-09,23,0,.7
642,문화,2017-09-10,22.9,0,.7
642,문화,2017-09-11,20.5,69,1.2
642,문화,2017-09-12,22.4,0,1.1
642,문화,2017-09-13,21.1,0,.9
642,문화,2017-09-14,21.6,0,1.1
642,문화,2017-09-15,21.7,0,2.1
642,문화,2017-09-16,21.4,0,1.7
642,문화,2017-09-17,22.4,0,1.4
642,문화,2017-09-18,21.6,0,1.3
642,문화,2017-09-19,23.5,0,1.7
642,문화,2017-09-20,20.6,2.5,1.5
642,문화,2017-09-21,19.4,0,.7
642,문화,2017-09-22,20.3,0,.9
642,문화,2017-09-23,20.8,0,.7
642,문화,2017-09-24,23,0,1
642,문화,2017-09-25,23.4,0,.9
642,문화,2017-09-26,23.7,0,.8
642,문화,2017-09-27,19.2,36.5,1
642,문화,2017-09-28,20.6,0,1.4
642,문화,2017-09-29,15.9,0,1.1
642,문화,2017-09-30,17.8,0,.6
642,문화,2017-10-01,16,12,.8
642,문화,2017-10-02,19.1,3.5,.6
642,문화,2017-10-03,18.8,0,1
642,문화,2017-10-04,17.7,0,1.2
642,문화,2017-10-05,18.2,0,1.4
642,문화,2017-10-06,17,1.5,.8
642,문화,2017-10-07,19.7,.5,.6
642,문화,2017-10-08,21.4,0,.6
642,문화,2017-10-09,22.1,0,.7
642,문화,2017-10-10,22.7,0,.9
642,문화,2017-10-11,17.9,11,1.4
642,문화,2017-10-12,12.8,2.5,1
642,문화,2017-10-13,12.3,0,1
642,문화,2017-10-14,14,0,1
642,문화,2017-10-15,15.1,0,1
642,문화,2017-10-16,16.4,0,1
642,문화,2017-10-17,15.9,0,.8
642,문화,2017-10-18,16.3,0,1.4
642,문화,2017-10-19,16.9,0,1.2
642,문화,2017-10-20,16.7,0,.8
642,문화,2017-10-21,16.2,0,.7
642,문화,2017-10-22,16.5,0,1.6
642,문화,2017-10-23,13.3,0,1.1
642,문화,2017-10-24,12.4,0,.6
642,문화,2017-10-25,12.5,0,.6
642,문화,2017-10-26,13.1,0,.6
642,문화,2017-10-27,14.6,0,.6
642,문화,2017-10-28,15.5,0,.7
642,문화,2017-10-29,12.3,0,1.5
642,문화,2017-10-30,7.7,0,1
642,문화,2017-10-31,8.9,0,.7
642,문화,2017-11-01,12.9,0,1
642,문화,2017-11-02,13.9,0,.5
642,문화,2017-11-03,11.8,0,1.4
642,문화,2017-11-04,8.5,0,1.2
642,문화,2017-11-05,7.3,0,.6
642,문화,2017-11-06,9.1,0,.6
642,문화,2017-11-07,14,0,.5
642,문화,2017-11-08,15,0,1.6
642,문화,2017-11-09,9.2,0,.5
642,문화,2017-11-10,10.5,2,1.5
642,문화,2017-11-11,6.7,0,1.2
642,문화,2017-11-12,5.7,0,.6
642,문화,2017-11-13,7.7,0,.7
642,문화,2017-11-14,9.4,0,1.4
642,문화,2017-11-15,6.3,0,1.6
642,문화,2017-11-16,3.4,0,1
642,문화,2017-11-17,5.2,0,.7
642,문화,2017-11-18,1.1,0,2.3
642,문화,2017-11-19,.1,0,1.3
642,문화,2017-11-20,4.2,0,1.3
642,문화,2017-11-21,2.8,0,.6
642,문화,2017-11-22,5.2,0,.9
642,문화,2017-11-23,2.1,.5,1.2
642,문화,2017-11-24,1.4,6,1.1
642,문화,2017-11-25,6.5,0,1.7
642,문화,2017-11-26,7.7,3,1.8
642,문화,2017-11-27,3.7,0,.5
642,문화,2017-11-28,6.2,0,.6
642,문화,2017-11-29,6.9,0,1.4
642,문화,2017-11-30,.9,0,1.6
642,문화,2017-12-01,-.3,0,1.2
642,문화,2017-12-02,2.3,0,.5
642,문화,2017-12-03,6.6,0,.8
642,문화,2017-12-04,2.9,0,1.9
642,문화,2017-12-05,-2.5,0,1.5
642,문화,2017-12-06,1.8,.5,.8
642,문화,2017-12-07,3.8,2.5,1.4
642,문화,2017-12-08,-1.1,0,1.5
642,문화,2017-12-09,1.1,0,.6
642,문화,2017-12-10,3.7,1.5,1.4
642,문화,2017-12-11,-3.4,0,2.3
642,문화,2017-12-12,-5.7,0,1.6
642,문화,2017-12-13,-5.3,0,1
642,문화,2017-12-14,-4.5,0,.6
642,문화,2017-12-15,-1.2,0,.6
642,문화,2017-12-16,-1.7,0,2
642,문화,2017-12-17,-4.4,0,1
642,문화,2017-12-18,1.3,0,1.3
642,문화,2017-12-19,-1.5,0,1.5
642,문화,2017-12-20,-1.2,.5,.7
642,문화,2017-12-21,-.1,0,.5
642,문화,2017-12-22,1.9,0,.6
642,문화,2017-12-23,4.9,0,.4
642,문화,2017-12-24,4,19,1.2
642,문화,2017-12-25,.4,0,2
642,문화,2017-12-26,-.6,0,2
642,문화,2017-12-27,-3.9,0,1.3
642,문화,2017-12-28,-1.2,0,.7
642,문화,2017-12-29,3.3,0,.8
642,문화,2017-12-30,3.7,.5,.6
642,문화,2017-12-31,2,.5,1.6
642,문화,2018-01-01,-.6,0,.6
642,문화,2018-01-02,-.3,0,.7
642,문화,2018-01-03,-1.7,0,1.2
642,문화,2018-01-04,-2.3,0,.9
642,문화,2018-01-05,-.4,0,1
642,문화,2018-01-06,-.5,0,.7
642,문화,2018-01-07,-.8,0,.5
642,문화,2018-01-08,1.6,1.5,1.1
642,문화,2018-01-09,-1.3,1,2.1
642,문화,2018-01-10,-4.5,.5,1.7
642,문화,2018-01-11,-8.3,0,1.4
642,문화,2018-01-12,-8,0,1.1
642,문화,2018-01-13,-1.5,0,.8
642,문화,2018-01-14,.7,0,.5
642,문화,2018-01-15,5.4,0,1
642,문화,2018-01-16,4,3.5,.5
642,문화,2018-01-17,4.2,11,.8
642,문화,2018-01-18,4.3,0,1.1
642,문화,2018-01-19,.5,0,.6
642,문화,2018-01-20,.8,0,.6
642,문화,2018-01-21,1.5,0,.5
642,문화,2018-01-22,3.4,1,1.4
642,문화,2018-01-23,-6.6,0,2.6
642,문화,2018-01-24,-11.1,0,2.4
642,문화,2018-01-25,-10.3,0,1.6
642,문화,2018-01-26,-10.8,0,1.8
642,문화,2018-01-27,-8,0,.8
642,문화,2018-01-28,-3,0,1.6
642,문화,2018-01-29,-6,0,1.7
642,문화,2018-01-30,-4.4,0,1
642,문화,2018-01-31,.1,0,1.1
642,문화,2018-02-01,-1.6,0,1
642,문화,2018-02-02,-2.7,0,.7
642,문화,2018-02-03,-4.5,0,2.3
642,문화,2018-02-04,-6.9,0,2
642,문화,2018-02-05,-7.3,0,1.9
642,문화,2018-02-06,-7.7,0,1.7
642,문화,2018-02-07,-6.8,0,.8
642,문화,2018-02-08,-3.9,0,.7
642,문화,2018-02-09,1.6,0,.9
642,문화,2018-02-10,1,0,1.7
642,문화,2018-02-11,-3.5,.5,2
642,문화,2018-02-12,-4.7,0,1.7
642,문화,2018-02-13,-.3,.5,1.9
642,문화,2018-02-14,5.4,0,1.8
642,문화,2018-02-15,1.3,0,1.3
642,문화,2018-02-16,.7,0,1
642,문화,2018-02-17,-.7,0,1.6
642,문화,2018-02-18,.4,0,.7
642,문화,2018-02-19,2.8,0,.7
642,문화,2018-02-20,2.6,0,1.1
642,문화,2018-02-21,.7,0,1.4
642,문화,2018-02-22,.5,0,1.1
642,문화,2018-02-23,5.8,0,2
642,문화,2018-02-24,6,0,1.4
642,문화,2018-02-25,4.6,0,1.1
642,문화,2018-02-26,4,0,.8
642,문화,2018-02-27,6.5,0,.8
642,문화,2018-02-28,5.3,28,1.5
642,문화,2018-03-01,2.4,.5,2.6
642,문화,2018-03-02,1.7,0,1.1
642,문화,2018-03-03,8.6,0,.6
642,문화,2018-03-04,15.3,10.5,1
642,문화,2018-03-05,7,13,1.7
642,문화,2018-03-06,6.1,0,.9
642,문화,2018-03-07,5.9,2.5,1.8
642,문화,2018-03-08,3.2,9.5,1.1
642,문화,2018-03-09,3.2,0,1
642,문화,2018-03-10,4.4,0,1.3
642,문화,2018-03-11,7.7,0,1.1
642,문화,2018-03-12,8.7,0,.9
642,문화,2018-03-13,13,0,1.3
642,문화,2018-03-14,16.3,0,1
642,문화,2018-03-15,13.5,21.5,.9
642,문화,2018-03-16,6.7,1.5,1.9
642,문화,2018-03-17,7.6,0,1.1
642,문화,2018-03-18,7.9,6.5,.6
642,문화,2018-03-19,8.4,16.5,1.7
642,문화,2018-03-20,6,0,2.8
642,문화,2018-03-21,1.1,8.5,1.3
642,문화,2018-03-22,5,0,1.6
642,문화,2018-03-23,6.4,0,1.1
642,문화,2018-03-24,8.5,0,1.5
642,문화,2018-03-25,10.5,0,1.4
642,문화,2018-03-26,12.3,0,1.2
642,문화,2018-03-27,14.3,0,1.6
642,문화,2018-03-28,15.1,0,1.6
642,문화,2018-03-29,16.3,0,.8
642,문화,2018-03-30,15.7,0,1.3
642,문화,2018-03-31,15.9,0,1.2
642,문화,2018-04-01,16.1,0,1.1
642,문화,2018-04-02,18.1,0,1.2
642,문화,2018-04-03,19.1,0,1.3
642,문화,2018-04-04,13.2,14,1.5
642,문화,2018-04-05,8.4,16.5,1.4
642,문화,2018-04-06,8,18,2.2
642,문화,2018-04-07,5.3,0,3
642,문화,2018-04-08,8.4,0,2.6
642,문화,2018-04-09,12.2,0,1.2
642,문화,2018-04-10,16.9,.5,2.2
642,문화,2018-04-11,16.1,5.5,2.5
642,문화,2018-04-12,14.3,0,1.4
642,문화,2018-04-13,13.7,0,1.3
642,문화,2018-04-14,9.2,31.5,1.5
642,문화,2018-04-15,10.2,0,2.4
642,문화,2018-04-16,11.6,0,1.1
642,문화,2018-04-17,14,0,1
642,문화,2018-04-18,13.8,0,1.2
642,문화,2018-04-19,14.9,0,1.4
642,문화,2018-04-20,19.2,0,1.1
642,문화,2018-04-21,19.7,0,1.2
642,문화,2018-04-22,16.8,1,1.2
642,문화,2018-04-23,11.7,40,1.8
642,문화,2018-04-24,12.4,3,1.3
642,문화,2018-04-25,14.5,0,1.1
642,문화,2018-04-26,15.7,0,1.4
642,문화,2018-04-27,16,0,1.4
642,문화,2018-04-28,16.2,0,1.4
642,문화,2018-04-29,16.8,0,1.2
642,문화,2018-04-30,20.8,0,1.1
642,문화,2018-05-01,21.4,1,1
642,문화,2018-05-02,17.7,10,2
642,문화,2018-05-03,12.6,0,3.2
642,문화,2018-05-04,15.3,0,3.2
642,문화,2018-05-05,19.3,0,1.9
642,문화,2018-05-06,16.1,16.5,.9
642,문화,2018-05-07,17.3,6,1
642,문화,2018-05-08,16.6,0,1.8
642,문화,2018-05-09,16.1,0,1.4
642,문화,2018-05-10,16.9,0,1.6
642,문화,2018-05-11,17.2,0,1.6
642,문화,2018-05-12,15.6,22,.6
642,문화,2018-05-13,17.8,2,1.7
642,문화,2018-05-14,20,0,1.1
642,문화,2018-05-15,23.7,0,.7
642,문화,2018-05-16,25.9,0,1.1
642,문화,2018-05-17,,0,
642,문화,2018-05-19,17.5,0,2
642,문화,2018-05-20,17.4,0,2.3
642,문화,2018-05-21,17.4,0,1.8
642,문화,2018-05-22,18.8,6,.9
642,문화,2018-05-23,19,23,1.6
642,문화,2018-05-24,19,0,1.6
642,문화,2018-05-25,20.1,0,.9
642,문화,2018-05-26,22.4,0,1.1
642,문화,2018-05-27,21.2,0,.9
642,문화,2018-05-28,23.2,0,1.3
642,문화,2018-05-29,23.3,0,1.3
642,문화,2018-05-30,22.4,0,1.9
642,문화,2018-05-31,21.2,0,1.5
642,문화,2018-06-01,24.3,0,1.1
642,문화,2018-06-02,24,0,1.2
642,문화,2018-06-03,24,0,1.1
642,문화,2018-06-04,23.8,0,1.4
642,문화,2018-06-05,23.5,0,1.1
642,문화,2018-06-06,24.4,0,1.2
642,문화,2018-06-07,24.6,0,1.3
642,문화,2018-06-08,22.8,0,1.5
642,문화,2018-06-09,22.8,.5,1.8
642,문화,2018-06-10,21.3,0,2
642,문화,2018-06-11,20,.5,1.4
642,문화,2018-06-12,21.1,0,1.3
642,문화,2018-06-13,22.8,0,1
642,문화,2018-06-14,22.6,0,1.8
642,문화,2018-06-15,21.2,0,1.9
642,문화,2018-06-16,22,0,1.7
642,문화,2018-06-17,23.4,0,1.1
642,문화,2018-06-18,25.8,0,1.3
642,문화,2018-06-19,21.3,3.5,.8
642,문화,2018-06-20,23.3,0,1.3
642,문화,2018-06-21,23.7,0,1.6
642,문화,2018-06-22,25,0,1.1
642,문화,2018-06-23,24.4,0,1.7
642,문화,2018-06-24,26.4,0,1.7
642,문화,2018-06-25,26.8,0,1
642,문화,2018-06-26,24.4,37.5,1.4
642,문화,2018-06-27,25.7,61,2.1
642,문화,2018-06-28,24.5,0,1
642,문화,2018-06-29,26,20.5,1.3
642,문화,2018-06-30,25.1,5,.7
642,문화,2018-07-01,22.2,99.5,.8
642,문화,2018-07-02,23,51,.4
642,문화,2018-07-03,25.6,0,1.2
642,문화,2018-07-04,27.1,0,1.6
642,문화,2018-07-05,25.6,13,.9
642,문화,2018-07-06,22.3,19.5,1.3
642,문화,2018-07-07,22.8,0,1.8
642,문화,2018-07-08,22.1,0,1.5
642,문화,2018-07-09,20.9,18.5,.9
642,문화,2018-07-10,26.4,0,.8
642,문화,2018-07-11,28.5,0,.8
642,문화,2018-07-12,28.8,0,1.2
642,문화,2018-07-13,29,0,1.6
642,문화,2018-07-14,28.9,0,1.6
642,문화,2018-07-15,29.7,0,1.2
642,문화,2018-07-16,29.6,0,1.2
642,문화,2018-07-17,29.6,0,1.3
642,문화,2018-07-18,29.3,0,.9
642,문화,2018-07-19,29.5,0,1
642,문화,2018-07-20,30.4,0,.9
642,문화,2018-07-21,31.5,0,1
642,문화,2018-07-22,31.4,0,1
642,문화,2018-07-23,31,0,1
642,문화,2018-07-24,31.6,0,1.2
642,문화,2018-07-25,30.7,0,1.7
642,문화,2018-07-26,31,0,1.4
642,문화,2018-07-27,31.5,0,1.3
642,문화,2018-07-28,29.7,0,1.1
642,문화,2018-07-29,31,0,1.7
642,문화,2018-07-30,30.2,0,1.6
642,문화,2018-07-31,31.2,0,1.4
642,문화,2018-08-01,32.7,0,1.3
642,문화,2018-08-02,32.9,0,1.3
642,문화,2018-08-03,32.6,0,1.3
642,문화,2018-08-04,31.5,0,1.6
642,문화,2018-08-05,30.6,0,1.7
642,문화,2018-08-06,30.7,0,1.2
642,문화,2018-08-07,31.4,0,1.3
642,문화,2018-08-08,31.4,0,1.4
642,문화,2018-08-09,30.2,.5,1.2
642,문화,2018-08-10,30.6,0,1.4
642,문화,2018-08-11,29.7,0,1.8
642,문화,2018-08-12,29.9,0,1.3
642,문화,2018-08-13,30.6,0,.9
642,문화,2018-08-14,32.3,0,1.2
642,문화,2018-08-15,32.6,0,1.2
642,문화,2018-08-16,29.3,0,1.8
642,문화,2018-08-17,26.5,0,2.5
642,문화,2018-08-18,26.4,0,1.6
642,문화,2018-08-19,27.5,0,1
642,문화,2018-08-20,29.1,0,1.2
642,문화,2018-08-21,28.3,0,1.4
642,문화,2018-08-22,30.6,0,1.8
642,문화,2018-08-23,28.5,5,2.3
642,문화,2018-08-24,25.2,18.5,2.1
642,문화,2018-08-25,25.4,0,1.2
642,문화,2018-08-26,21.4,125,.8
642,문화,2018-08-27,23.7,68,.7
642,문화,2018-08-28,26.5,35.5,.8
642,문화,2018-08-29,28.1,0,1.2
642,문화,2018-08-30,26.4,78.5,1.4
642,문화,2018-08-31,22.3,47,.7
642,문화,2018-09-01,24.9,0,1.6
642,문화,2018-09-02,24,0,1.5
642,문화,2018-09-03,25,57,.8
642,문화,2018-09-04,24.6,25.5,1.4
642,문화,2018-09-05,24.4,0,2
642,문화,2018-09-06,23.7,0,1.1
642,문화,2018-09-07,22.4,2,1.6
642,문화,2018-09-08,21.1,0,1
642,문화,2018-09-09,22.1,0,.9
642,문화,2018-09-10,22.2,0,1.5
642,문화,2018-09-11,21,0,1.6
642,문화,2018-09-12,22.3,0,1.2
642,문화,2018-09-13,21.9,0,1.2
642,문화,2018-09-14,22.1,8.5,.9
642,문화,2018-09-15,22.7,.5,.7
642,문화,2018-09-16,23,.5,.7
642,문화,2018-09-17,23.2,0,.9
642,문화,2018-09-18,22.3,0,.9
642,문화,2018-09-19,21.5,0,.6
642,문화,2018-09-20,20.9,.5,1.2
642,문화,2018-09-21,19.7,32,.9
642,문화,2018-09-22,21.2,0,1
642,문화,2018-09-23,19.6,0,.9
642,문화,2018-09-24,17.3,0,1
642,문화,2018-09-25,17.6,0,1.1
642,문화,2018-09-26,19.2,0,1.4
642,문화,2018-09-27,18.6,0,1.3
642,문화,2018-09-28,17.8,0,.8
642,문화,2018-09-29,20.2,0,1
642,문화,2018-09-30,19,0,1.6
642,문화,2018-10-01,15.4,1,2
642,문화,2018-10-02,16.1,0,.6
642,문화,2018-10-03,16,0,.6
642,문화,2018-10-04,18.9,0,1.1
642,문화,2018-10-05,17.9,52,1
642,문화,2018-10-06,18.2,33,1.4
